dataset,row_number,field,defect_class,original_value
Works Completed.csv,98,Image,MISSING_OR_BLANK,
Works Completed.csv,99,Image,MISSING_OR_BLANK,
Works Completed.csv,100,Image,MISSING_OR_BLANK,
Works Completed.csv,101,Image,MISSING_OR_BLANK,
Works Completed.csv,102,Image,MISSING_OR_BLANK,
Works Completed.csv,103,Image,MISSING_OR_BLANK,
Works Completed.csv,104,Image,MISSING_OR_BLANK,
Works Completed.csv,105,Image,MISSING_OR_BLANK,
Works Completed.csv,106,Image,MISSING_OR_BLANK,
Works Completed.csv,110,Image,MISSING_OR_BLANK,
Works Completed.csv,111,Image,MISSING_OR_BLANK,
Works Completed.csv,112,Image,MISSING_OR_BLANK,
Works Completed.csv,113,Image,MISSING_OR_BLANK,
Works Completed.csv,114,Image,MISSING_OR_BLANK,
Works Completed.csv,115,Image,MISSING_OR_BLANK,
Works Completed.csv,116,Image,MISSING_OR_BLANK,
Works Completed.csv,117,Image,MISSING_OR_BLANK,
Works Completed.csv,118,Image,MISSING_OR_BLANK,
Works Completed.csv,119,Image,MISSING_OR_BLANK,
Works Completed.csv,120,Image,MISSING_OR_BLANK,
Works Completed.csv,121,Image,MISSING_OR_BLANK,
Works Completed.csv,122,Image,MISSING_OR_BLANK,
Works Completed.csv,123,Image,MISSING_OR_BLANK,
Works Completed.csv,124,Image,MISSING_OR_BLANK,
Works Completed.csv,125,Image,MISSING_OR_BLANK,
Works Completed.csv,126,Image,MISSING_OR_BLANK,
Works Completed.csv,127,Image,MISSING_OR_BLANK,
Works Completed.csv,128,Image,MISSING_OR_BLANK,
Works Completed.csv,129,Image,MISSING_OR_BLANK,
Works Completed.csv,130,Image,MISSING_OR_BLANK,
Works Completed.csv,131,Image,MISSING_OR_BLANK,
Works Completed.csv,132,Image,MISSING_OR_BLANK,
Works Completed.csv,133,Image,MISSING_OR_BLANK,
Works Completed.csv,134,Image,MISSING_OR_BLANK,
Works Completed.csv,135,Image,MISSING_OR_BLANK,
Works Completed.csv,136,Image,MISSING_OR_BLANK,
Works Completed.csv,137,Image,MISSING_OR_BLANK,
Works Completed.csv,138,Image,MISSING_OR_BLANK,
Works Completed.csv,145,Image,MISSING_OR_BLANK,
Works Completed.csv,146,Image,MISSING_OR_BLANK,
Works Completed.csv,147,Image,MISSING_OR_BLANK,
Works Completed.csv,158,Image,MISSING_OR_BLANK,
Works Completed.csv,159,Image,MISSING_OR_BLANK,
Works Completed.csv,162,Image,MISSING_OR_BLANK,
Works Completed.csv,163,Image,MISSING_OR_BLANK,
Works Completed.csv,164,Image,MISSING_OR_BLANK,
Works Completed.csv,165,Image,MISSING_OR_BLANK,
Works Completed.csv,166,Image,MISSING_OR_BLANK,
Works Completed.csv,167,Image,MISSING_OR_BLANK,
Works Completed.csv,168,Image,MISSING_OR_BLANK,
Works Completed.csv,169,Image,MISSING_OR_BLANK,
Works Completed.csv,170,Image,MISSING_OR_BLANK,
Works Completed.csv,171,Image,MISSING_OR_BLANK,
Works Completed.csv,172,Image,MISSING_OR_BLANK,
Works Completed.csv,173,Image,MISSING_OR_BLANK,
Works Completed.csv,174,Image,MISSING_OR_BLANK,
Works Completed.csv,175,Image,MISSING_OR_BLANK,
Works Completed.csv,176,Image,MISSING_OR_BLANK,
Works Completed.csv,177,Image,MISSING_OR_BLANK,
Works Completed.csv,178,Image,MISSING_OR_BLANK,
Works Completed.csv,182,Image,MISSING_OR_BLANK,
Works Completed.csv,184,Image,MISSING_OR_BLANK,
Works Completed.csv,185,Image,MISSING_OR_BLANK,
Works Completed.csv,186,Image,MISSING_OR_BLANK,
Works Completed.csv,187,Image,MISSING_OR_BLANK,
Works Completed.csv,188,Image,MISSING_OR_BLANK,
Works Completed.csv,189,Image,MISSING_OR_BLANK,
Works Completed.csv,190,Image,MISSING_OR_BLANK,
Works Completed.csv,192,Image,MISSING_OR_BLANK,
Works Completed.csv,193,Image,MISSING_OR_BLANK,
Works Completed.csv,194,Image,MISSING_OR_BLANK,
Works Completed.csv,195,Image,MISSING_OR_BLANK,
Works Completed.csv,196,Image,MISSING_OR_BLANK,
Works Completed.csv,197,Image,MISSING_OR_BLANK,
Works Completed.csv,198,Image,MISSING_OR_BLANK,
Works Completed.csv,199,Image,MISSING_OR_BLANK,
Works Completed.csv,200,Image,MISSING_OR_BLANK,
Works Completed.csv,201,Image,MISSING_OR_BLANK,
Works Completed.csv,202,Image,MISSING_OR_BLANK,
Works Completed.csv,203,Image,MISSING_OR_BLANK,
Works Completed.csv,204,Image,MISSING_OR_BLANK,
Works Completed.csv,205,Image,MISSING_OR_BLANK,
Works Completed.csv,207,Image,MISSING_OR_BLANK,
Works Completed.csv,210,Image,MISSING_OR_BLANK,
Works Completed.csv,211,Image,MISSING_OR_BLANK,
Works Completed.csv,212,Image,MISSING_OR_BLANK,
Works Completed.csv,213,Image,MISSING_OR_BLANK,
Works Completed.csv,214,Image,MISSING_OR_BLANK,
Works Completed.csv,223,Image,MISSING_OR_BLANK,
Works Completed.csv,224,Image,MISSING_OR_BLANK,
Works Completed.csv,260,Image,MISSING_OR_BLANK,
Works Completed.csv,261,Image,MISSING_OR_BLANK,
Works Completed.csv,262,Image,MISSING_OR_BLANK,
Works Completed.csv,265,Image,MISSING_OR_BLANK,
Works Completed.csv,266,Image,MISSING_OR_BLANK,
Works Completed.csv,267,Image,MISSING_OR_BLANK,
Works Completed.csv,268,Image,MISSING_OR_BLANK,
Works Completed.csv,269,Image,MISSING_OR_BLANK,
Works Completed.csv,270,Image,MISSING_OR_BLANK,
Works Completed.csv,271,Image,MISSING_OR_BLANK,
Works Completed.csv,272,Image,MISSING_OR_BLANK,
Works Completed.csv,273,Image,MISSING_OR_BLANK,
Works Completed.csv,274,Image,MISSING_OR_BLANK,
Works Completed.csv,275,Image,MISSING_OR_BLANK,
Works Completed.csv,284,Image,MISSING_OR_BLANK,
Works Completed.csv,286,Image,MISSING_OR_BLANK,
Works Completed.csv,287,Image,MISSING_OR_BLANK,
Works Completed.csv,288,Image,MISSING_OR_BLANK,
Works Completed.csv,289,Image,MISSING_OR_BLANK,
Works Completed.csv,304,Image,MISSING_OR_BLANK,
Works Completed.csv,305,Image,MISSING_OR_BLANK,
Works Completed.csv,306,Image,MISSING_OR_BLANK,
Works Completed.csv,308,Image,MISSING_OR_BLANK,
Works Completed.csv,309,Image,MISSING_OR_BLANK,
Works Completed.csv,312,Image,MISSING_OR_BLANK,
Works Completed.csv,313,Image,MISSING_OR_BLANK,
Works Completed.csv,314,Image,MISSING_OR_BLANK,
Works Completed.csv,315,Image,MISSING_OR_BLANK,
Works Completed.csv,319,Image,MISSING_OR_BLANK,
Works Completed.csv,331,Image,MISSING_OR_BLANK,
Works Completed.csv,333,Image,MISSING_OR_BLANK,
Works Completed.csv,335,Image,MISSING_OR_BLANK,
Works Completed.csv,339,Image,MISSING_OR_BLANK,
Works Completed.csv,340,Image,MISSING_OR_BLANK,
Works Completed.csv,350,Image,MISSING_OR_BLANK,
Works Completed.csv,351,Image,MISSING_OR_BLANK,
Works Completed.csv,353,Image,MISSING_OR_BLANK,
Works Completed.csv,354,Image,MISSING_OR_BLANK,
Works Completed.csv,357,Image,MISSING_OR_BLANK,
Works Completed.csv,360,Image,MISSING_OR_BLANK,
Works Completed.csv,361,Image,MISSING_OR_BLANK,
Works Completed.csv,362,Image,MISSING_OR_BLANK,
Works Completed.csv,363,Image,MISSING_OR_BLANK,
Works Completed.csv,364,Image,MISSING_OR_BLANK,
Works Completed.csv,365,Image,MISSING_OR_BLANK,
Works Completed.csv,370,Image,MISSING_OR_BLANK,
Works Completed.csv,412,Image,MISSING_OR_BLANK,
Works Completed.csv,449,Image,MISSING_OR_BLANK,
Works Completed.csv,471,Image,MISSING_OR_BLANK,
Works Completed.csv,472,Image,MISSING_OR_BLANK,
Works Completed.csv,473,Image,MISSING_OR_BLANK,
Works Completed.csv,474,Image,MISSING_OR_BLANK,
Works Completed.csv,477,Image,MISSING_OR_BLANK,
Works Completed.csv,480,Image,MISSING_OR_BLANK,
