allocation_id,state,constituency,honble_members_of_parliament
ALLOC_a94798bba296b89a0859,Punjab,JALANDHAR(SC),CHARANJIT SINGH CHANNI
ALLOC_3abbc7326d3ae35e1db8,Maharashtra,NANDED,CHAVAN VASANTRAO BALWANTRAO
ALLOC_81064160aa2010ec7b8e,Uttar Pradesh,BAREILLY,CHHATRA PAL SINGH GANGWAR
ALLOC_8f43d9c33b497d549987,Maharashtra,KOLHAPUR,CHHATRAPATI SHAHU SHAHAJI
ALLOC_fc979e97a2b87a1bab71,Uttar Pradesh,ROBERTSGANJ(SC),CHHOTELAL
ALLOC_2a5e81d2a1482a264313,Chhattisgarh,SARGUJA(ST),CHINTAMANI MAHARAJ
ALLOC_71ed3eb9787d0216e741,Bihar,HAJIPUR(SC),CHIRAG PASWAN
ALLOC_f33b700d2a7519f054f1,Tamil Nadu,TIRUVANNAMALAI,CN Annadurai
ALLOC_0411165e23d374ddda11,Tamil Nadu,VELLORE,D M Kathir Anand
ALLOC_d73bce89b5d82674908f,Tamil Nadu,VILUPPURAM(SC),D Ravikumar
ALLOC_ef48ea4a510d731e68ca,Andhra Pradesh,RAJAHMUNDRY,Daggubati Purandeshwari
ALLOC_9e3ce027350e2a4815eb,Andhra Pradesh,CHITTOOR,DAGGUMALLA PRASADA RAO
ALLOC_cec253a6a85d292456a3,Rajasthan,BHILWARA,DAMODAR AGARWAL
ALLOC_cf42e0bdef81cec86410,Uttar Pradesh,LALGANJ (SC),DAROGA PRASAD SAROJ
ALLOC_10dc16e4c8ffad45fdb0,Madhya Pradesh,HOSHANGABAD,DARSHAN SINGH CHOUDHARY
ALLOC_05bd06e0570942c5f033,Haryana,ROHTAK,DEEPENDER SINGH HOODA
ALLOC_2c9d130bfb5bef0da228,Uttar Pradesh,AKBARPUR,Devendra Alias Bhole Singh
ALLOC_1dede79897c3a6d71c55,Bihar,SITAMARHI,DEVESH CHANDRA THAKUR
ALLOC_db4fc398123f128dc1e4,Uttar Pradesh,ETAH,DEVESH SHAKYA
ALLOC_7ddcfcb4167f3b32fe33,Gujarat,KHEDA,Devusinh Jesingbhai Chauhan
ALLOC_402b99cf32a4777cfd4d,Maharashtra,HATKANANGLE,Dhairyasheel Sambhajirao Mane
ALLOC_f5341120dbcab4ffa52f,Maharashtra,CHANDRAPUR,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU
ALLOC_f73d13092fd15d133994,Odisha,SAMBALPUR,DHARMENDRA PRADHAN
ALLOC_f864be5b32577f43c99c,Uttar Pradesh,AZAMGARH,DHARMENDRA YADAV
ALLOC_0d89f6ee551e9651f9bf,Gujarat,VALSAD(ST),DHAVAL LAXMANBHAI PATEL
ALLOC_532bc75e913bd51da667,Bihar,SUPAUL,Dileshwar Kamait
ALLOC_b75bdc416b1029ef71a1,Assam,Darrang-Udalguri,Dilip Saikia
ALLOC_087fca27a5625442d7f2,Bihar,MADHEPURA,Dinesh Chandra Yadav
ALLOC_a357412c254dc54564a2,Gujarat,AHMEDABAD WEST(SC),DINESHBHAI MAKWANA
ALLOC_86f40bcf013fb7717f68,Andhra Pradesh,NANDYAL,DR BYREDDY SHABARI
ALLOC_0deeb8ed8ee8110fa5f1,Karnataka,BANGALORE RURAL,DR C N MANJUNATH
ALLOC_649bff67df8f0cdd4c38,Andhra Pradesh,GUNTUR,Dr Chandra Sekhar Pemmasani
ALLOC_ef1cff28ee08d7782b85,Punjab,PATIALA,DR DHARAMVIRA GANDHI
ALLOC_1a7009e0fffcbe3b05d5,West Bengal,JALPAIGURI(SC),Dr Jayanta Kumar Roy
ALLOC_1088b1c3be385c8e3e19,Maharashtra,LATUR(SC),DR KALGE SHIVAJI BANDAPPA
ALLOC_cd347ccd07adb639158a,Bihar,KISHANGANJ,Dr Mohammad Jawed
ALLOC_1ee108d76e001795658c,Uttar Pradesh,BAGHPAT,DR RAJKUMAR SANGWAN
ALLOC_95810759b9c489f66216,Tamil Nadu,TENKASI(SC),DR RANI SRI KUMAR
ALLOC_55137ef909eefa2ca7c4,Kerala,THIRUVANANTHAPURAM,Dr Shashi Tharoor
ALLOC_21be9d4471c27ced9a1c,West Bengal,BALURGHAT,Dr Sukanta Majumdar
ALLOC_7ab38f2ac62c2926b223,Gujarat,VADODARA,DR. HEMANG JOSHI
ALLOC_6ab4e3ee2d038fc836e1,Maharashtra,PALGHAR(ST),DR. HEMANT VISHNU SAVARA
ALLOC_529525bdb23bfca954d6,Maharashtra,GADCHIROLI-CHIMUR(ST),DR. KIRSAN NAMDEO
ALLOC_1b30ab7498bbc0286cf9,Madhya Pradesh,SAGAR,DR. LATA WANKHEDE
ALLOC_2f353a75ad7639c8d934,Kerala,PONNANI,DR. M.P ABDUSSAMAD SAMADANI
ALLOC_26ecbcb8c63a5e705305,Gujarat,PORBANDAR,DR. MANSUKH MANDAVIYA
ALLOC_82c90c9152e962970cc4,Karnataka,DAVANAGERE,DR. PRABHA MALLIKARJUN
ALLOC_c709ae6a5a076c119ac6,Odisha,BERHAMPUR,DR. PRADEEP KUMAR PANIGRAHY
ALLOC_ad644499ae83ba9837f7,Maharashtra,BHANDARA-GONDIYA,DR. PRASHANT YADAORAO PADOLE
ALLOC_8d28fead60cde429c579,Punjab,HOSHIARPUR(SC),DR. RAJ KUMAR CHABBEWAL
ALLOC_7636f2f53a95fc168db6,Madhya Pradesh,SIDHI,DR. RAJESH MISHRA
ALLOC_2195ed27d560244e0931,Uttar Pradesh,PRATAPGARH,DR. S P SINGH
ALLOC_fd67e6336f776510cc30,West Bengal,BARDHAMAN PURBA(SC),DR. SHARMILA SARKAR
ALLOC_c014e3d8a5a8149007f0,Karnataka,CHIKBALLAPUR,DR.K.SUDHAKAR
ALLOC_367b0ed8c01d7019b017,Telangana,NAGARKURNOOL(SC),DR.MALLU RAVI
