"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"3051","Punjab","Construction of public toilets and bathrooms","WS/MP18158/2025-2026/201323","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","21-Aug-2026","SHREE BALAJI ENTERPRISES","Payment Success","11092"
"3052","Punjab","Construction of public toilets and bathrooms","WS/MP18158/2025-2026/201323","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","21-Aug-2026","NEW MAHA LUXMI BRICKS","Payment Success","2448"
"3053","Punjab","Construction of public toilets and bathrooms","WS/MP18158/2025-2026/201323","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","21-Aug-2026","NEW MAHA LUXMI BRICKS","Payment Success","38361"
"3054","Punjab","Construction of public toilets and bathrooms","WS/MP18158/2025-2026/201323","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","19-Aug-2026","yuvraj electrical","Payment Success","1984"
"3055","Punjab","Construction of public toilets and bathrooms","WS/MP18158/2025-2026/201323","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","19-Aug-2026","yuvraj electrical","Payment Success","3635"
"3056","Odisha","Construction of community centers and community halls","WS/MP18146/2025-2026/177757","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","21-Aug-2026","BABALU BEHERA","Payment Success","291000"
"3057","Assam","Construction of community centers and community halls","WS/MP18022/2026-2027/265553","TINSUKIA(DC Tinsukia)","Shri Sarbananda Sonowal (18LS)","DIBRUGARH","24-Aug-2026","Raju Gogoi","Payment Success","500000"
"3058","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/208921","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","23-Aug-2026","NEELAM","Payment Success","18300"
"3059","Gujarat","Construction of community centers and community halls","WS/MP18056/2025-2026/232551","MORBI(District collector Morbi_IDA)","PARSHOTTAMBHAI RUPALA","RAJKOT","21-Aug-2026","Nanjibhai Devshibhai Makvana","Payment Success","785489"
"3060","Gujarat","Construction of community centers and community halls","WS/MP18056/2025-2026/206243","MORBI(District collector Morbi_IDA)","PARSHOTTAMBHAI RUPALA","RAJKOT","21-Aug-2026","Nanjibhai Devshibhai Makvana","Payment Success","384720"
