sr_no,state,work,work_id,ida,honble_members_of_parliament,constituency,expenditure_date,vendor_name,payment_status,fund_disbursed_amount_rupees,fund_disbursed_amount_rupees_invalid_negative,source_dataset
5164,Uttarakhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP021/2025-2026/254813,NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA),Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,2026-07-09,NITESH CHANDRA,Payment Success,12078,False,Completed_On-going_Works.csv
5165,Uttarakhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP021/2025-2026/254813,NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA),Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,2026-07-09,PANKAJ MEHRA,Payment Success,16160,False,Completed_On-going_Works.csv
5166,Chandigarh,Street lights,WS/MP18047/2025-2026/227240,CHANDIGARH(DEPUTY COMMISSIONER ZILLA PARISHAD CHANDIGARH_IDA),MANISH TEWARI,CHANDIGARH,2026-07-28,Sunrays Green Solutions LLP,Payment Success,483836,False,Completed_On-going_Works.csv
5167,Tamil Nadu,Construction of community centers and community halls,WS/MP017/2026-2027/235386,"Ranipet(District Collector, Ranipet_2)",S. Jagathrakshakan,ARAKKONAM,2026-07-01,JAYAKUMAR E,Payment Success,799000,False,Completed_On-going_Works.csv
5168,Rajasthan,Construction of rooms and halls in school and colleges,WS/MP18166/2025-2026/213333,JALORE(DISTRICT COLLECTOR JALORE_IDA),LUMBARAM,JALORE,2026-07-17,MANSAROVAR CONSTRUCTION COMPANY SANCHORE,Payment Success,999800,False,Completed_On-going_Works.csv
5169,Tamil Nadu,Construction of rooms and halls in school and colleges,WS/MP743/2025-2026/190791,Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA),Ganesan Selvam,KANCHEEPURAM(SC),2026-07-22,RISHIKESAVAN K,Payment Success,999104,False,Completed_On-going_Works.csv
5170,West Bengal,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18257/2025-2026/260177,Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA),ABHIJIT GANGOPADHYAY,TAMLUK,2026-07-15,MS P Maity Co,Payment Success,521811,False,Completed_On-going_Works.csv
5171,Tamil Nadu,Construction of buildings for community cultural activities,WS/MP746/2026-2027/289728,RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA),Kani K Navas,RAMANATHAPURAM,2026-07-01,SAKTHI T,Payment Success,330780,False,Completed_On-going_Works.csv
5172,Odisha,Construction of rooms and halls in school and colleges,WS/MP18145/2025-2026/247405,Kataka(DISTRICT COLLECTOR CUTTACK_IDA),BAIJAYANT PANDA,KENDRAPARA,2026-07-17,JE SALIPUR DILLIP KUMAR ROUL,Payment Success,527199,False,Completed_On-going_Works.csv
5173,Odisha,Construction of rooms and halls in school and colleges,WS/MP18145/2025-2026/247405,Kataka(DISTRICT COLLECTOR CUTTACK_IDA),BAIJAYANT PANDA,KENDRAPARA,2026-08-21,JE SALIPUR DILLIP KUMAR ROUL,Payment Success,300902,False,Completed_On-going_Works.csv
5174,West Bengal,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18257/2025-2026/243990,Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA),ABHIJIT GANGOPADHYAY,TAMLUK,2026-07-07,A P ENTERPRISE prop PARESH KUMAR PARUA,Payment Success,335092,False,Completed_On-going_Works.csv
5175,West Bengal,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18257/2025-2026/249227,Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA),ABHIJIT GANGOPADHYAY,TAMLUK,2026-07-07,A P ENTERPRISE prop PARESH KUMAR PARUA,Payment Success,459094,False,Completed_On-going_Works.csv
5176,Uttarakhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP021/2025-2026/200617,NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA),Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,2026-07-06,BASANT KUMAR,Payment Success,13176,False,Completed_On-going_Works.csv
5177,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18321/2025-2026/257340,SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA),SHOBHANABEN MAHENDRASINH BARAIYA,SABARKANTHA,2026-07-01,KAMALPUR GRAM PANCHAYAT,Payment Success,500000,False,Completed_On-going_Works.csv
5178,Uttarakhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP021/2025-2026/200617,NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA),Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,2026-07-06,SURAJ,Payment Success,13176,False,Completed_On-going_Works.csv
5179,Uttarakhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP021/2025-2026/200617,NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA),Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,2026-07-06,RAJENDRA SINGH,Payment Success,13176,False,Completed_On-going_Works.csv
5180,Uttarakhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP021/2025-2026/200617,NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA),Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,2026-07-06,AMIT NAINWAL,Payment Success,12810,False,Completed_On-going_Works.csv
5181,Uttarakhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP021/2025-2026/200617,NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA),Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,2026-07-06,SURESH BHATT,Payment Success,14756,False,Completed_On-going_Works.csv
5182,Uttarakhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP021/2025-2026/200617,NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA),Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,2026-07-06,HARISH PANDEY,Payment Success,14756,False,Completed_On-going_Works.csv
5183,Rajasthan,Construction of community centers and community halls,WS/MP18159/2025-2026/194372,ALWAR(DISTRICT COLLECTOR ALWAR_IDA),BHUPENDER YADAV,ALWAR,2026-07-02,BADRI PRASAD,Payment Success,2107807,False,Completed_On-going_Works.csv
5184,Maharashtra,Construction of community centers and community halls,WS/MP18327/2026-2027/241888,SOLAPUR(DISTRICT COLLECTOR SOLAPUR_IDA),PRANITI SUSHILKUMAR SHINDE,SOLAPUR(SC),2026-07-15,Rushikesh Bharat Gund,Payment Success,994800,False,Completed_On-going_Works.csv
5185,Uttarakhand,Construction of common work sheds/ common covered sitting area,WS/MP021/2025-2026/172020,NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA),Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,2026-08-14,jain iron store,Payment Success,16997,False,Completed_On-going_Works.csv
5186,Uttarakhand,Security gates in streets/public place for safety purpose,WS/MP021/2025-2026/242766,NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA),Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,2026-07-17,Jyoti Rawat,Payment Success,27531,False,Completed_On-going_Works.csv
5187,Uttarakhand,Security gates in streets/public place for safety purpose,WS/MP021/2025-2026/242766,NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA),Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,2026-07-17,shubhan Rawat,Payment Success,27132,False,Completed_On-going_Works.csv
5188,Uttarakhand,Security gates in streets/public place for safety purpose,WS/MP021/2025-2026/242766,NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA),Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,2026-07-17,sanjay,Payment Success,13470,False,Completed_On-going_Works.csv
5189,Uttarakhand,Security gates in streets/public place for safety purpose,WS/MP021/2025-2026/242766,NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA),Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,2026-07-17,madan singh,Payment Success,12123,False,Completed_On-going_Works.csv
5190,Telangana,Construction of public toilets and bathrooms,WS/MP18194/2025-2026/236857,KAMAREDDY(District Collector Kamareddy_IDA),SURESH KUMAR SHETKAR,ZAHIRABAD,2026-07-01,S K ROMAN PAINTS HARDWARE AND ELECTRICALS,Payment Success,198652,False,Completed_On-going_Works.csv
5191,Odisha,Installing community drinking water plants,WS/MP300/2024-2025/160732,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,2026-07-02,PARKLANDS SOLAR PRIVATE LIMITED,Payment Success,100000,False,Completed_On-going_Works.csv
5192,Odisha,Installing community drinking water plants,WS/MP300/2024-2025/160244,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,2026-07-19,PARKLANDS SOLAR PRIVATE LIMITED,Payment Success,100000,False,Completed_On-going_Works.csv
5193,Odisha,Installing community drinking water plants,WS/MP300/2024-2025/160236,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,2026-07-19,PARKLANDS SOLAR PRIVATE LIMITED,Payment Success,100000,False,Completed_On-going_Works.csv
5194,Odisha,Installing community drinking water plants,WS/MP300/2026-2027/160803,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,2026-07-28,PARKLANDS SOLAR PRIVATE LIMITED,Payment Success,100000,False,Completed_On-going_Works.csv
5195,Odisha,Installing community drinking water plants,WS/MP300/2026-2027/160802,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,2026-08-04,PARKLANDS SOLAR PRIVATE LIMITED,Payment Success,100000,False,Completed_On-going_Works.csv
5196,Odisha,Installing community drinking water plants,WS/MP300/2026-2027/160801,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,2026-08-04,PARKLANDS SOLAR PRIVATE LIMITED,Payment Success,100000,False,Completed_On-going_Works.csv
5197,Odisha,Installing community drinking water plants,WS/MP300/2026-2027/160805,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,2026-08-04,PARKLANDS SOLAR PRIVATE LIMITED,Payment Success,100000,False,Completed_On-going_Works.csv
5198,Odisha,Installing community drinking water plants,WS/MP300/2024-2025/160231,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,2026-07-14,PARKLANDS SOLAR PRIVATE LIMITED,Payment Success,99000,False,Completed_On-going_Works.csv
5199,Odisha,Installing community drinking water plants,WS/MP300/2024-2025/160232,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,2026-07-16,PARKLANDS SOLAR PRIVATE LIMITED,Payment Success,100000,False,Completed_On-going_Works.csv
5200,Odisha,Installing community drinking water plants,WS/MP300/2024-2025/160246,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,2026-07-16,PARKLANDS SOLAR PRIVATE LIMITED,Payment Success,100000,False,Completed_On-going_Works.csv
5201,Odisha,Installing community drinking water plants,WS/MP300/2024-2025/160245,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,2026-07-16,PARKLANDS SOLAR PRIVATE LIMITED,Payment Success,100000,False,Completed_On-going_Works.csv
5202,Odisha,Installing community drinking water plants,WS/MP300/2024-2025/160239,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,2026-07-16,PARKLANDS SOLAR PRIVATE LIMITED,Payment Success,100000,False,Completed_On-going_Works.csv
5203,Odisha,Installing community drinking water plants,WS/MP300/2024-2025/160233,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,2026-07-16,PARKLANDS SOLAR PRIVATE LIMITED,Payment Success,100000,False,Completed_On-going_Works.csv
5204,Odisha,Installing community drinking water plants,WS/MP300/2024-2025/160237,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,2026-07-16,PARKLANDS SOLAR PRIVATE LIMITED,Payment Success,100000,False,Completed_On-going_Works.csv
5205,Odisha,Installing community drinking water plants,WS/MP300/2024-2025/160240,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,2026-07-16,PARKLANDS SOLAR PRIVATE LIMITED,Payment Success,100000,False,Completed_On-going_Works.csv
5206,Odisha,Installing community drinking water plants,WS/MP300/2024-2025/160242,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,2026-07-16,PARKLANDS SOLAR PRIVATE LIMITED,Payment Success,100000,False,Completed_On-going_Works.csv
5207,Odisha,Installing community drinking water plants,WS/MP300/2026-2027/160804,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,2026-08-03,PARKLANDS SOLAR PRIVATE LIMITED,Payment Success,100000,False,Completed_On-going_Works.csv
5208,Odisha,Installing community drinking water plants,WS/MP300/2026-2027/160821,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,2026-08-03,PARKLANDS SOLAR PRIVATE LIMITED,Payment Success,100000,False,Completed_On-going_Works.csv
5209,Odisha,Installing community drinking water plants,WS/MP300/2026-2027/160820,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,2026-08-03,PARKLANDS SOLAR PRIVATE LIMITED,Payment Success,100000,False,Completed_On-going_Works.csv
5210,Meghalaya,Construction of footpaths and pedestrian ways,WS/MP18309/2026-2027/288128,WEST GARO HILLS(DEPUTY COMMISSIONER WEST GARO HILLS_IDA),SALENG A SANGMA,TURA,2026-07-07,Gritalson Arengh,Payment Success,100000,False,Completed_On-going_Works.csv
5211,Kerala,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP440/2025-2026/161187,PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA),Vellalath Kochukrishnan Nair Sreekandan,PALAKKAD,2026-07-03,BASEEL LATHEEF NK,Payment Success,914967,False,Completed_On-going_Works.csv
5212,Odisha,Construction of community centers and community halls,WS/MP370/2025-2026/184871,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Shri Jual Oram,SUNDARGARH (ST),2026-07-01,Sanjaya Kumar Patel,Payment Success,472648,False,Completed_On-going_Works.csv
5213,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18201/2026-2027/271033,BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA),NEERAJ MAURYA,AONLA,2026-08-01,N K CONSTRUCTIONS,Payment Success,217777,False,Completed_On-going_Works.csv
5214,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18201/2026-2027/271034,BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA),NEERAJ MAURYA,AONLA,2026-07-02,N K CONSTRUCTIONS,Payment Success,712498,False,Completed_On-going_Works.csv
5215,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18344/2025-2026/177796,PORBANDAR(DISTRICT COLLECTOR PORBANDAR_IDA),DR. MANSUKH MANDAVIYA,PORBANDAR,2026-07-08,Nagka Garam Panchayat,Payment Success,331662,False,Completed_On-going_Works.csv
5216,Odisha,Construction of community centers and community halls,WS/MP18358/2025-2026/187826,GANJAM(DISTRICT COLLECTOR GANJAM_IDA),ANITA SUBHADARSHINI,ASKA,2026-07-03,Lokanath Behera,Payment Success,500000,False,Completed_On-going_Works.csv
5217,Uttar Pradesh,Construction of rooms and halls in school and colleges,WS/MP791/2026-2027/252226,Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA),Jagdambika Pal,DOMARIYAGANJ,2026-08-17,LATE HARIHAR PRASAD SAHANI P M V,Payment Success,75000,False,Completed_On-going_Works.csv
5218,Uttar Pradesh,Construction of rooms and halls in school and colleges,WS/MP791/2026-2027/252226,Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA),Jagdambika Pal,DOMARIYAGANJ,2026-07-01,LATE HARIHAR PRASAD SAHANI P M V,Payment Success,180000,False,Completed_On-going_Works.csv
5219,Karnataka,Construction of community centers and community halls,WS/MP18356/2026-2027/219559,BELAGAVI(DEPUTY COMMISSIONER BELGAUM_IDA),PRIYANKA SATISH JARKIHOLI,CHIKKODI,2026-07-02,SAJEEDHUSSAIN I SHAIKH,Payment Success,750000,False,Completed_On-going_Works.csv
5220,Karnataka,Construction of community centers and community halls,WS/MP18356/2026-2027/219559,BELAGAVI(DEPUTY COMMISSIONER BELGAUM_IDA),PRIYANKA SATISH JARKIHOLI,CHIKKODI,2026-07-25,SAJEEDHUSSAIN I SHAIKH,Payment Success,223505,False,Completed_On-going_Works.csv
5221,Uttarakhand,Construction of common work sheds/ common covered sitting area,WS/MP477/2025-2026/258919,ALMORA(DISTRICT MAGISTRATE ALMORA_IDA),Ajay Tamta,ALMORA(SC),2026-07-03,asha devi,Payment Success,10374,False,Completed_On-going_Works.csv
5222,Uttarakhand,Construction of common work sheds/ common covered sitting area,WS/MP477/2025-2026/258919,ALMORA(DISTRICT MAGISTRATE ALMORA_IDA),Ajay Tamta,ALMORA(SC),2026-07-03,shekhar chandra,Payment Success,10374,False,Completed_On-going_Works.csv
5223,Kerala,Renovation of ponds and lakes,WS/MP353/2025-2026/210702,ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),Adv Dean Kuriakose,IDUKKI,2026-07-03,SATHAR C M,Payment Success,718082,False,Completed_On-going_Works.csv
5224,Uttarakhand,Construction of common work sheds/ common covered sitting area,WS/MP477/2025-2026/258919,ALMORA(DISTRICT MAGISTRATE ALMORA_IDA),Ajay Tamta,ALMORA(SC),2026-07-03,pankaj joshi,Payment Success,10374,False,Completed_On-going_Works.csv
5225,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18322/2026-2027/280862,DEOGHAR(DEPUTY COMMISSIONER DEOGHAR_IDA),NALIN SOREN,DUMKA(ST),2026-07-02,EXECUTIVE ENGINEER N R E P DEOGHAR MPLADS,Payment Success,150000,False,Completed_On-going_Works.csv
5226,Jharkhand,Construction of culverts and bridges,WS/MP18322/2026-2027/280861,DEOGHAR(DEPUTY COMMISSIONER DEOGHAR_IDA),NALIN SOREN,DUMKA(ST),2026-07-02,EXECUTIVE ENGINEER N R E P DEOGHAR MPLADS,Payment Success,175000,False,Completed_On-going_Works.csv
5227,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18322/2026-2027/280849,DEOGHAR(DEPUTY COMMISSIONER DEOGHAR_IDA),NALIN SOREN,DUMKA(ST),2026-07-02,EXECUTIVE ENGINEER N R E P DEOGHAR MPLADS,Payment Success,175000,False,Completed_On-going_Works.csv
5228,Jharkhand,Construction of culverts and bridges,WS/MP18322/2026-2027/280851,DEOGHAR(DEPUTY COMMISSIONER DEOGHAR_IDA),NALIN SOREN,DUMKA(ST),2026-07-02,EXECUTIVE ENGINEER N R E P DEOGHAR MPLADS,Payment Success,150000,False,Completed_On-going_Works.csv
5229,Jharkhand,Renovation of ponds and lakes,WS/MP18322/2026-2027/280853,DEOGHAR(DEPUTY COMMISSIONER DEOGHAR_IDA),NALIN SOREN,DUMKA(ST),2026-07-02,EXECUTIVE ENGINEER N R E P DEOGHAR MPLADS,Payment Success,150000,False,Completed_On-going_Works.csv
5230,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18322/2026-2027/280852,DEOGHAR(DEPUTY COMMISSIONER DEOGHAR_IDA),NALIN SOREN,DUMKA(ST),2026-07-02,EXECUTIVE ENGINEER N R E P DEOGHAR MPLADS,Payment Success,162500,False,Completed_On-going_Works.csv
5231,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18322/2026-2027/280856,DEOGHAR(DEPUTY COMMISSIONER DEOGHAR_IDA),NALIN SOREN,DUMKA(ST),2026-07-02,EXECUTIVE ENGINEER N R E P DEOGHAR MPLADS,Payment Success,187500,False,Completed_On-going_Works.csv
5232,Jharkhand,Construction of culverts and bridges,WS/MP18322/2026-2027/280855,DEOGHAR(DEPUTY COMMISSIONER DEOGHAR_IDA),NALIN SOREN,DUMKA(ST),2026-07-02,EXECUTIVE ENGINEER N R E P DEOGHAR MPLADS,Payment Success,150000,False,Completed_On-going_Works.csv
5233,Jharkhand,Renovation of ponds and lakes,WS/MP18322/2026-2027/280854,DEOGHAR(DEPUTY COMMISSIONER DEOGHAR_IDA),NALIN SOREN,DUMKA(ST),2026-07-02,EXECUTIVE ENGINEER N R E P DEOGHAR MPLADS,Payment Success,150000,False,Completed_On-going_Works.csv
5234,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18322/2026-2027/280859,DEOGHAR(DEPUTY COMMISSIONER DEOGHAR_IDA),NALIN SOREN,DUMKA(ST),2026-07-02,EXECUTIVE ENGINEER N R E P DEOGHAR MPLADS,Payment Success,175000,False,Completed_On-going_Works.csv
5235,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18322/2026-2027/280850,DEOGHAR(DEPUTY COMMISSIONER DEOGHAR_IDA),NALIN SOREN,DUMKA(ST),2026-07-02,EXECUTIVE ENGINEER N R E P DEOGHAR MPLADS,Payment Success,150000,False,Completed_On-going_Works.csv
5236,Jharkhand,Construction of culverts and bridges,WS/MP18322/2026-2027/280857,DEOGHAR(DEPUTY COMMISSIONER DEOGHAR_IDA),NALIN SOREN,DUMKA(ST),2026-07-02,EXECUTIVE ENGINEER N R E P DEOGHAR MPLADS,Payment Success,200000,False,Completed_On-going_Works.csv
5237,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18322/2026-2027/286714,DEOGHAR(DEPUTY COMMISSIONER DEOGHAR_IDA),NALIN SOREN,DUMKA(ST),2026-07-13,EXECUTIVE ENGINEER N R E P DEOGHAR MPLADS,Payment Success,162500,False,Completed_On-going_Works.csv
5238,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18322/2026-2027/286709,DEOGHAR(DEPUTY COMMISSIONER DEOGHAR_IDA),NALIN SOREN,DUMKA(ST),2026-07-13,EXECUTIVE ENGINEER N R E P DEOGHAR MPLADS,Payment Success,162500,False,Completed_On-going_Works.csv
5239,Jharkhand,Construction of culverts and bridges,WS/MP18322/2026-2027/286700,DEOGHAR(DEPUTY COMMISSIONER DEOGHAR_IDA),NALIN SOREN,DUMKA(ST),2026-07-13,EXECUTIVE ENGINEER N R E P DEOGHAR MPLADS,Payment Success,162500,False,Completed_On-going_Works.csv
5240,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18322/2026-2027/286699,DEOGHAR(DEPUTY COMMISSIONER DEOGHAR_IDA),NALIN SOREN,DUMKA(ST),2026-07-13,EXECUTIVE ENGINEER N R E P DEOGHAR MPLADS,Payment Success,175000,False,Completed_On-going_Works.csv
5241,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18322/2026-2027/286704,DEOGHAR(DEPUTY COMMISSIONER DEOGHAR_IDA),NALIN SOREN,DUMKA(ST),2026-07-13,EXECUTIVE ENGINEER N R E P DEOGHAR MPLADS,Payment Success,150000,False,Completed_On-going_Works.csv
5242,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18322/2026-2027/286702,DEOGHAR(DEPUTY COMMISSIONER DEOGHAR_IDA),NALIN SOREN,DUMKA(ST),2026-07-13,EXECUTIVE ENGINEER N R E P DEOGHAR MPLADS,Payment Success,162500,False,Completed_On-going_Works.csv
5243,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18322/2026-2027/286707,DEOGHAR(DEPUTY COMMISSIONER DEOGHAR_IDA),NALIN SOREN,DUMKA(ST),2026-07-13,EXECUTIVE ENGINEER N R E P DEOGHAR MPLADS,Payment Success,150000,False,Completed_On-going_Works.csv
5244,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18322/2026-2027/286706,DEOGHAR(DEPUTY COMMISSIONER DEOGHAR_IDA),NALIN SOREN,DUMKA(ST),2026-07-13,EXECUTIVE ENGINEER N R E P DEOGHAR MPLADS,Payment Success,150000,False,Completed_On-going_Works.csv
5245,Jharkhand,Construction of culverts and bridges,WS/MP18322/2026-2027/286705,DEOGHAR(DEPUTY COMMISSIONER DEOGHAR_IDA),NALIN SOREN,DUMKA(ST),2026-07-13,EXECUTIVE ENGINEER N R E P DEOGHAR MPLADS,Payment Success,150000,False,Completed_On-going_Works.csv
5246,Jharkhand,Providing drains and gutters for public drainage,WS/MP18322/2026-2027/286712,DEOGHAR(DEPUTY COMMISSIONER DEOGHAR_IDA),NALIN SOREN,DUMKA(ST),2026-07-13,EXECUTIVE ENGINEER N R E P DEOGHAR MPLADS,Payment Success,150000,False,Completed_On-going_Works.csv
5247,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18322/2026-2027/286711,DEOGHAR(DEPUTY COMMISSIONER DEOGHAR_IDA),NALIN SOREN,DUMKA(ST),2026-07-13,EXECUTIVE ENGINEER N R E P DEOGHAR MPLADS,Payment Success,137500,False,Completed_On-going_Works.csv
5248,Jharkhand,Renovation of ponds and lakes,WS/MP18322/2026-2027/286710,DEOGHAR(DEPUTY COMMISSIONER DEOGHAR_IDA),NALIN SOREN,DUMKA(ST),2026-07-13,EXECUTIVE ENGINEER N R E P DEOGHAR MPLADS,Payment Success,150000,False,Completed_On-going_Works.csv
5249,Maharashtra,Construction of community centers and community halls,WS/MP18115/2026-2027/186442,BHANDARA(DISTRICT COLLECTOR BHANDARA_IDA),DR. PRASHANT YADAORAO PADOLE,BHANDARA-GONDIYA,2026-07-17,GRAM PANCHAYAT MALIDA,Payment Success,700000,False,Completed_On-going_Works.csv
5250,Telangana,Street lights,WS/MP18190/2026-2027/212957,MAHABUBABAD(DISTRICT COLLECTOR MAHABUBABAD_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,2026-07-01,SUTRAPU RAJENDRA PRASAD,Payment Success,174772,False,Completed_On-going_Works.csv
5251,Telangana,Street lights,WS/MP18190/2026-2027/212919,MAHABUBABAD(DISTRICT COLLECTOR MAHABUBABAD_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,2026-07-01,SUTRAPU RAJENDRA PRASAD,Payment Success,174772,False,Completed_On-going_Works.csv
5252,Telangana,Street lights,WS/MP18190/2026-2027/212892,MAHABUBABAD(DISTRICT COLLECTOR MAHABUBABAD_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,2026-07-01,SUTRAPU RAJENDRA PRASAD,Payment Success,175000,False,Completed_On-going_Works.csv
5253,Telangana,Street lights,WS/MP18190/2026-2027/212901,MAHABUBABAD(DISTRICT COLLECTOR MAHABUBABAD_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,2026-07-01,SUTRAPU RAJENDRA PRASAD,Payment Success,175000,False,Completed_On-going_Works.csv
5254,Telangana,Street lights,WS/MP18190/2026-2027/212903,MAHABUBABAD(DISTRICT COLLECTOR MAHABUBABAD_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,2026-07-01,SUTRAPU RAJENDRA PRASAD,Payment Success,174772,False,Completed_On-going_Works.csv
