sr_no,state,work,work_id,ida,honble_members_of_parliament,constituency,expenditure_date,vendor_name,payment_status,fund_disbursed_amount_rupees,fund_disbursed_amount_rupees_invalid_negative,source_dataset
648,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18210/2026-2027/277917,VARANASI(DISTRICT MAGISTRAE VARANASI_IDA),VIRENDRA SINGH,CHANDAULI,2026-08-22,SAMRIDHA CONSTRUCTION,Payment In-Progress,906543,False,Completed_On-going_Works.csv
649,Karnataka,Construction of community centers and community halls,WS/MP18090/2025-2026/204463,MANDYA(DEPUTY COMMISSIONER MANDYA_IDA),H.D. KUMARASWAMY,MANDYA,2026-03-06,PROJECT MANAGER NIRMITHI KENDRA MANDYA,Payment In-Progress,125000,False,Completed_On-going_Works.csv
650,Maharashtra,Fitting of Sitting RCC Benches in Public Places,WS/MP18128/2026-2027/217811,PALGHAR(DISTRICT COLLECTOR PALGHAR_IDA),DR. HEMANT VISHNU SAVARA,PALGHAR(ST),2026-09-01,HARSHAL ANANTA SAMBARE,Payment In-Progress,992591,False,Completed_On-going_Works.csv
651,Odisha,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP300/2025-2026/257871,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,2026-08-31,CDO Zilla Parishad DMF,Payment In-Progress,365,False,Completed_On-going_Works.csv
652,Odisha,Construction of public libraries and reading rooms,WS/MP300/2025-2026/157041,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,2026-08-31,CDO Zilla Parishad DMF,Payment In-Progress,568,False,Completed_On-going_Works.csv
653,Odisha,Construction of public libraries and reading rooms,WS/MP300/2025-2026/157040,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,2026-08-30,CDO Zilla Parishad DMF,Payment In-Progress,522,False,Completed_On-going_Works.csv
654,Karnataka,Construction of rooms and halls in school and colleges,WS/MP18090/2026-2027/231403,MANDYA(DEPUTY COMMISSIONER MANDYA_IDA),H.D. KUMARASWAMY,MANDYA,2026-08-19,PROJECT MANAGER NIRMITHI KENDRA MANDYA,Payment In-Progress,125000,False,Completed_On-going_Works.csv
655,Karnataka,Construction of community centers and community halls,WS/MP18090/2026-2027/278440,MANDYA(DEPUTY COMMISSIONER MANDYA_IDA),H.D. KUMARASWAMY,MANDYA,2026-09-01,PROJECT MANAGER NIRMITHI KENDRA MANDYA,Payment In-Progress,125000,False,Completed_On-going_Works.csv
656,Karnataka,Construction of community centers and community halls,WS/MP18090/2026-2027/278430,MANDYA(DEPUTY COMMISSIONER MANDYA_IDA),H.D. KUMARASWAMY,MANDYA,2026-09-01,PROJECT MANAGER NIRMITHI KENDRA MANDYA,Payment In-Progress,750000,False,Completed_On-going_Works.csv
657,Karnataka,Construction of community centers and community halls,WS/MP18090/2025-2026/204448,MANDYA(DEPUTY COMMISSIONER MANDYA_IDA),H.D. KUMARASWAMY,MANDYA,2026-09-01,PROJECT MANAGER NIRMITHI KENDRA MANDYA,Payment In-Progress,750000,False,Completed_On-going_Works.csv
658,Karnataka,Construction of community centers and community halls,WS/MP18090/2025-2026/231341,MANDYA(DEPUTY COMMISSIONER MANDYA_IDA),H.D. KUMARASWAMY,MANDYA,2026-06-22,PROJECT MANAGER NIRMITHI KENDRA MANDYA,Payment In-Progress,375000,False,Completed_On-going_Works.csv
659,Karnataka,Construction of community centers and community halls,WS/MP18090/2025-2026/231361,MANDYA(DEPUTY COMMISSIONER MANDYA_IDA),H.D. KUMARASWAMY,MANDYA,2026-06-22,PROJECT MANAGER NIRMITHI KENDRA MANDYA,Payment In-Progress,750000,False,Completed_On-going_Works.csv
660,Karnataka,Construction of community centers and community halls,WS/MP18090/2025-2026/231400,MANDYA(DEPUTY COMMISSIONER MANDYA_IDA),H.D. KUMARASWAMY,MANDYA,2026-07-14,PROJECT MANAGER NIRMITHI KENDRA MANDYA,Payment In-Progress,250000,False,Completed_On-going_Works.csv
661,Karnataka,Construction of community centers and community halls,WS/MP18090/2025-2026/201222,MANDYA(DEPUTY COMMISSIONER MANDYA_IDA),H.D. KUMARASWAMY,MANDYA,2026-07-22,PROJECT MANAGER NIRMITHI KENDRA MANDYA,Payment In-Progress,125000,False,Completed_On-going_Works.csv
662,Karnataka,Construction of community centers and community halls,WS/MP18090/2025-2026/231361,MANDYA(DEPUTY COMMISSIONER MANDYA_IDA),H.D. KUMARASWAMY,MANDYA,2026-07-20,PROJECT MANAGER NIRMITHI KENDRA MANDYA,Payment In-Progress,250000,False,Completed_On-going_Works.csv
663,Gujarat,Construction of buildings for community cultural activities,WS/MP584/2025-2026/235687,KACHCHH(DISTRICT COLLECTOR KUTCH_IDA),Vinod Chavda,KACHCHH(SC),2026-08-17,SHREE GOREWALI JUTH GRAM PANCHAYAT,Payment In-Progress,400000,False,Completed_On-going_Works.csv
664,Kerala,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18305/2025-2026/183175,MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA),E.T. MOHAMMED BASHEER,MALAPPURAM,2026-09-02,Niyas Perapurath Keezhuveettil,Payment In-Progress,179351,False,Completed_On-going_Works.csv
665,Karnataka,Construction of community centers and community halls,WS/MP18090/2025-2026/204742,MANDYA(DEPUTY COMMISSIONER MANDYA_IDA),H.D. KUMARASWAMY,MANDYA,2026-05-22,PROJECT MANAGER NIRMITHI KENDRA MANDYA,Payment In-Progress,125000,False,Completed_On-going_Works.csv
666,Karnataka,Construction of common work sheds/ common covered sitting area,WS/MP18090/2025-2026/231345,MANDYA(DEPUTY COMMISSIONER MANDYA_IDA),H.D. KUMARASWAMY,MANDYA,2026-04-29,PROJECT MANAGER NIRMITHI KENDRA MANDYA,Payment In-Progress,125000,False,Completed_On-going_Works.csv
667,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18056/2025-2026/263443,RAJKOT(DISTRICT COLLECTOR RAJKOT_IDA),PARSHOTTAMBHAI RUPALA,RAJKOT,2026-09-02,KHADVAVDI GRAM PANCHAYAT,Payment In-Progress,400000,False,Completed_On-going_Works.csv
668,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18056/2025-2026/263333,RAJKOT(DISTRICT COLLECTOR RAJKOT_IDA),PARSHOTTAMBHAI RUPALA,RAJKOT,2026-09-02,KHADVAVDI GRAM PANCHAYAT,Payment In-Progress,499969,False,Completed_On-going_Works.csv
669,West Bengal,Purchase of non-conventional energy system and devices for community use,WS/MP481/2026-2027/203981,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Khalilur Rahaman,JANGIPUR,2026-08-06,CHUMKI SAHA SARKAR,Payment In-Progress,887155,False,Completed_On-going_Works.csv
670,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP579/2025-2026/269578,ANAND(District Collector ANAND_IDA),Mitesh Rameshbhai Bakabhai Patel,ANAND,2026-08-27,Gram Panchayat Ras,Payment In-Progress,490000,False,Completed_On-going_Works.csv
671,Karnataka,Construction of rooms and halls in school and colleges,WS/MP18090/2026-2027/231403,MANDYA(DEPUTY COMMISSIONER MANDYA_IDA),H.D. KUMARASWAMY,MANDYA,2026-08-04,PROJECT MANAGER NIRMITHI KENDRA MANDYA,Payment In-Progress,375000,False,Completed_On-going_Works.csv
672,Maharashtra,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18429/2026-2027/249341,NANDED(DISTRICT COLLECTOR NANDED_IDA),Ravindra Vasantrao Chavan,NANDED,2026-09-02,GRAM PANCHAYAT KARYALAYA WADI BK NANDED,Payment In-Progress,994388,False,Completed_On-going_Works.csv
673,Punjab,Construction of community centers and community halls,WS/MP18311/2025-2026/272271,RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA),MALVINDER SINGH KANG,ANANDPUR SAHIB,2026-08-28,Samar Building Point,Payment In-Progress,234500,False,Completed_On-going_Works.csv
674,Kerala,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP350/2026-2027/246782,KASARAGOD(DISTRICT COLLECTOR KASARAGOD_IDA),Shri Rajmohan Unnithan,KASARAGOD,2026-09-01,KELTRON,Payment In-Progress,199784,False,Completed_On-going_Works.csv
675,Odisha,Construction of public irrigation facilities,WS/MP18150/2026-2027/272770,SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA),DHARMENDRA PRADHAN,SAMBALPUR,2026-09-01,DMF,Payment In-Progress,518,False,Completed_On-going_Works.csv
676,Odisha,Construction of public irrigation facilities,WS/MP18150/2026-2027/272840,SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA),DHARMENDRA PRADHAN,SAMBALPUR,2026-09-01,DMF,Payment In-Progress,234,False,Completed_On-going_Works.csv
677,Uttar Pradesh,Improvement of electricity distribution infrastructure,WS/MP793/2026-2027/286912,GORAKHPUR(DISTRICT MAGISTRATE GORAKHPUR_IDA),Kamlesh Paswan,BANSGAON(SC),2026-09-02,MD PUVVNL,Payment In-Progress,608000,False,Completed_On-going_Works.csv
678,Bihar,Construction of additional rooms and halls in the existing public and community building,WS/MP18032/2025-2026/269403,BUXAR(DISTRICT PLANNING OFFICER BUXAR_IDA),SUDHAKAR SINGH,BUXAR,2026-09-02,Assistant Engineer Buxar,Payment In-Progress,542316,False,Completed_On-going_Works.csv
679,Karnataka,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18263/2026-2027/234844,UDUPI(DEPUTY COMMISSIONER UDUPI_IDA),KOTA SRINIVAS POOJARY,UDUPI CHIKMAGALUR,2026-08-31,PRASHANTH,Payment In-Progress,500000,False,Completed_On-going_Works.csv
680,Haryana,Improvement of electricity distribution infrastructure,WS/MP18062/2026-2027/288021,HISAR(DEPUTY COMMISSIONER HISSAR_IDA),JAI PARKASH,HISAR,2026-08-31,XEN City DHBVN Bhiwani,Payment In-Progress,262170,False,Completed_On-going_Works.csv
681,Haryana,Improvement of electricity distribution infrastructure,WS/MP18062/2026-2027/288024,HISAR(DEPUTY COMMISSIONER HISSAR_IDA),JAI PARKASH,HISAR,2026-08-31,XEN City DHBVN Bhiwani,Payment In-Progress,89690,False,Completed_On-going_Works.csv
682,Haryana,Improvement of electricity distribution infrastructure,WS/MP18062/2026-2027/288038,HISAR(DEPUTY COMMISSIONER HISSAR_IDA),JAI PARKASH,HISAR,2026-08-31,XEN City DHBVN Bhiwani,Payment In-Progress,125153,False,Completed_On-going_Works.csv
683,Haryana,Improvement of electricity distribution infrastructure,WS/MP18062/2026-2027/288022,HISAR(DEPUTY COMMISSIONER HISSAR_IDA),JAI PARKASH,HISAR,2026-08-31,XEN City DHBVN Bhiwani,Payment In-Progress,140685,False,Completed_On-going_Works.csv
684,Haryana,Improvement of electricity distribution infrastructure,WS/MP18062/2026-2027/288023,HISAR(DEPUTY COMMISSIONER HISSAR_IDA),JAI PARKASH,HISAR,2026-08-31,XEN City DHBVN Bhiwani,Payment In-Progress,118848,False,Completed_On-going_Works.csv
685,Haryana,Improvement of electricity distribution infrastructure,WS/MP18062/2026-2027/288015,HISAR(DEPUTY COMMISSIONER HISSAR_IDA),JAI PARKASH,HISAR,2026-08-31,XEN City DHBVN Bhiwani,Payment In-Progress,177575,False,Completed_On-going_Works.csv
686,Haryana,Improvement of electricity distribution infrastructure,WS/MP18062/2026-2027/279890,HISAR(DEPUTY COMMISSIONER HISSAR_IDA),JAI PARKASH,HISAR,2026-08-31,XEN City DHBVN Bhiwani,Payment In-Progress,140366,False,Completed_On-going_Works.csv
687,Karnataka,Construction of buildings for community cultural activities,WS/ MP620/2026-2027/270149,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,2026-08-28,Manjunath S Pawar,Payment In-Progress,495246,False,Completed_On-going_Works.csv
688,Karnataka,Construction of community centers and community halls,WS/MP618/2025-2026/212241,BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA),Parvatagouda Chandanagouda Gaddigoudar,BAGALKOT,2026-09-01,ARUN RAMAPPA BEVOOR,Payment In-Progress,124890,False,Completed_On-going_Works.csv
689,Karnataka,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18263/2026-2027/234871,UDUPI(DEPUTY COMMISSIONER UDUPI_IDA),KOTA SRINIVAS POOJARY,UDUPI CHIKMAGALUR,2026-08-31,VINAYA NAIK P,Payment In-Progress,500000,False,Completed_On-going_Works.csv
690,Maharashtra,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP673/2026-2027/225939,SOLAPUR(DISTRICT COLLECTOR SOLAPUR_IDA),Omprakash Bhupalsinh Alias Pawan Rajenimbalkar,OSMANABAD,2026-08-14,CHAIRMAN MAHALAXMI MAJUR SAHKARI SANSTHA LTD WANEWADI TAL BARSHI,Payment In-Progress,993405,False,Completed_On-going_Works.csv
691,Karnataka,Construction of community centers and community halls,WS/MP618/2026-2027/208398,BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA),Parvatagouda Chandanagouda Gaddigoudar,BAGALKOT,2026-08-31,MALLAPPA GURUPAD GALAGALI,Payment In-Progress,124520,False,Completed_On-going_Works.csv
692,Kerala,Purchase of hospital equipment,WS/MP18264/2025-2026/220210,KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA),ADV K FRANCIS GEORGE,KOTTAYAM,2026-07-24,SREE GOKULAM HEALTHCARE PVT LTD,Payment In-Progress,498750,False,Completed_On-going_Works.csv
693,Odisha,Construction of community centers and community halls,WS/MP370/2024-2025/145537,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Shri Jual Oram,SUNDARGARH (ST),2026-08-31,DISTRICT MINERAL FOUNDATION SUNDARGARH,Payment In-Progress,127,False,Completed_On-going_Works.csv
694,Andhra Pradesh,"Construction of Government office buildings (Post office, Police station, Police chauki, etc.)",WS/MP18005/2025-2026/232793,Bapatla(DISTRICT COLLECTOR BAPATLA_IDA),Krishna Prasad Tenneti,BAPATLA,2026-09-02,KRISHAN KISHORE PARCHURU,Payment In-Progress,589011,False,Completed_On-going_Works.csv
695,Andhra Pradesh,Construction of community centers and community halls,WS/MP18005/2025-2026/232792,Bapatla(DISTRICT COLLECTOR BAPATLA_IDA),Krishna Prasad Tenneti,BAPATLA,2026-09-02,KRISHAN KISHORE PARCHURU,Payment In-Progress,999201,False,Completed_On-going_Works.csv
