sr_no,work_category,work,state,ida,honble_members_of_parliament,constituency,work_description,recommended_date,sanction_date,sanction_amount_rupees,work_status,sanction_amount_rupees_invalid_negative,source_dataset
10375,Normal/Others,WS/MP18188/2024-2025/154584-Providing drains and gutters for public drainage,Telangana,RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA),KONDA VISHWESHWAR REDDY,CHELVELLA,Construction of UGD from MD Anif House to R. Venkatesh House at Manmarry Village of Shabad Mandal,2024-11-25,2025-02-12,338859.0,Physical Inspection,False,Works Sanctioned.csv
10376,Normal/Others,"WS/MP856/2024-2025/154585-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,Hariharnagar mein Imityaz Ahmad ke Plot se Satyender Singh Chauhan ke Ghar tak Kulwanti Kanvent School ki CC Road avm Nali Nirman ka karya. Length 80 Meter,2024-11-25,2025-01-25,1000000.0,Work Completed,False,Works Sanctioned.csv
10377,Normal/Others,"WS/MP856/2024-2025/154586-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,Vimal Nagar main Ramchander Pangu ke makan se surender Verma ke makan tak Interlocking Sadak avm Nali Nirman ka karya. Length-110 Meter,2024-11-25,2025-01-25,1170662.0,Physical Inspection,False,Works Sanctioned.csv
10378,Normal/Others,"WS/MP856/2024-2025/154587-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,H.No. 17/734 se Bhawan No. 17/761 tak interlocking sadak avm Nali Nirman Karya. Length-65 Meter.,2024-11-25,2025-01-25,373845.0,Physical Inspection,False,Works Sanctioned.csv
10379,Normal/Others,"WS/MP856/2024-2025/154588-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,Shivani Vihar Colony mein Ram Govind Shukla B-48 ke bagal se Sanghya Public School hote hue Kushal Singh Bhist ji ke Makan tak Interlocking Road avm Nali Nirman Karya. Length-120 Meter,2024-11-25,2025-01-25,1169428.0,Physical Inspection,False,Works Sanctioned.csv
10380,Normal/Others,WS/MP18188/2024-2025/154589-Installing tube-wells and borewells,Telangana,RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA),KONDA VISHWESHWAR REDDY,CHELVELLA,Drilling of New Borewell and Supply and Delivery of New Motor and its materials at KGBV Hostel at Shankerpally Municipality,2024-11-25,2025-03-01,200000.0,Sanction,False,Works Sanctioned.csv
10381,Normal/Others,"WS/MP856/2024-2025/154590-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,LDA Colony main RS-2 355 SE RS-2 388 tak nali avm side patri interlocking ka karya. Length-134 Meter,2024-11-25,2025-01-25,529264.0,Physical Inspection,False,Works Sanctioned.csv
10382,Normal/Others,"WS/MP856/2024-2025/154591-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,badri shah len saasdatganj khas me mandir ke pas c.c. evam nali nirmal karya-length-105 meter,2024-11-25,2025-01-25,1540000.0,Work Completed,False,Works Sanctioned.csv
10383,Normal/Others,"WS/MP18188/2024-2025/154592-Construction of roads, link roads, pathways or any other road with or without drainage system",Telangana,RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA),KONDA VISHWESHWAR REDDY,CHELVELLA,"Laying of CC Road from Kallu Dukanam to Katike Ramchandraiah House and Yatahm Narsimlu House to Siddaiah House at Chakaliguda Village, H/o. Kethireddypally Village of Moinabad Mandal",2024-11-25,2025-02-12,499974.0,Physical Inspection,False,Works Sanctioned.csv
10384,Normal/Others,"WS/MP856/2024-2025/154593-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,Roshan Nagar me Sarika evam Alihasan wali gali me interlocking sadak evm nali nirman karya-length-90 meter,2024-11-25,2025-01-25,896953.0,Physical Inspection,False,Works Sanctioned.csv
