sr_no,work_category,work,state,ida,honble_members_of_parliament,elected_nominated,work_description,recommended_date,recommended_amount_rupees,sanction_date,recommended_amount_rupees_invalid_negative,source_dataset
19410,Normal/Others,NA-Construction of community centers and community halls,Uttarakhand,DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA),Dr. Kalpana Saini (2022-28) (2022-2028),Elected MP,"Installation of Service Lift at Madhav Seva Vishram Sadan, Veerbhadra Mandir Marg, Rishikesh, Dehradun operated by the Bhaurav Devras Seva Nyas.",2026-03-26,1250000.0,,False,Works_Recommended.csv
19411,Normal/Others,NA-Installing community drinking water plants,Uttarakhand,DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA),Dr. Kalpana Saini (2022-28) (2022-2028),Elected MP,"Installation of a Water Softener System at Madhav Seva Vishram Sadan (Operated by Bhaurao Devras Nyas), Veerbhadra Mandir Marg, Rishikesh",2026-03-26,700000.0,,False,Works_Recommended.csv
19412,Normal/Others,WS/MP878/2026-2027/276067-Development of public parks,Delhi,NORTH WEST(COMMISSIONER NORTH WEST),Shri Sanjay Singh (2024-30) (2024-2030),Elected MP,Provision of Artistic Gazebo arrangements in the Physical Center Pooth Kalan Village Ward No 26 Narela Zone,2026-03-26,788330.0,2026-04-23,False,Works_Recommended.csv
19413,Normal/Others,WS/MP878/2026-2027/276073-Lighting of public spaces,Delhi,NORTH WEST(COMMISSIONER NORTH WEST),Shri Sanjay Singh (2024-30) (2024-2030),Elected MP,Provision of Lighting Arrangements in Parks and Various Locations under Ward No 26 Pooth Kalan Narela Zone,2026-03-26,1869573.0,2026-05-13,False,Works_Recommended.csv
19414,Normal/Others,WS/MP878/2026-2027/276077-Street lights,Delhi,SOUTH(COMMISSIONER SOUTH),Shri Sanjay Singh (2024-30) (2024-2030),Elected MP,Provision of Street Light Poles with LED Fitting at Madangir Ward No 165,2026-03-26,2434004.0,2026-05-20,False,Works_Recommended.csv
19415,Normal/Others,WS/MP140/2026-2027/276204-Purchase of mobile water tankers,Punjab,KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA),Shri Sant Balbir Singh (2022-28) (2022-2028),Elected MP,Regarding for giving single single walled fabrication of 5000 Itr mobile water tanker 2mm stainless sheet AlSI 304 Material etc.,2026-03-27,360000.0,2026-08-20,False,Works_Recommended.csv
19416,Normal/Others,WS/MP140/2026-2027/276205-Purchase of mobile water tankers,Punjab,KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA),Shri Sant Balbir Singh (2022-28) (2022-2028),Elected MP,Regarding for giving single single walled fabrication of 3000 Ltr mobile water tanker 2mm stainless sheet AlSI 304 Material etc.,2026-03-27,253700.0,2026-06-19,False,Works_Recommended.csv
19417,Normal/Others,NA-Purchase of mobile water tankers,Punjab,KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA),Shri Sant Balbir Singh (2022-28) (2022-2028),Elected MP,Regarding for giving single walled fabrication of 5000 ltr mobile water tanker,2026-03-27,365800.0,,False,Works_Recommended.csv
19418,Normal/Others,NA-Purchase of mobile water tankers,Punjab,KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA),Shri Sant Balbir Singh (2022-28) (2022-2028),Elected MP,Regarding for giving single walled fabrication of 5000 ltr mobile water tanker,2026-03-27,365800.0,,False,Works_Recommended.csv
19419,Trust and Society,WS/MP299/2026-2027/276298-Construction of rooms and halls in school and colleges,Haryana,AMBALA(DEPUTY COMMISSIONER AMBALA_IDA),Shri Kartikeya Sharma (2022-28) (2022-2028),Elected MP,Construction of shed in school assembly area,2026-03-27,1100000.0,2026-05-27,False,Works_Recommended.csv
19420,Normal/Others,WS/MP878/2026-2027/276351-Lighting of public spaces,Delhi,South East(COMMISSIONER MCD SOUTH EAST_IDA),Shri Sanjay Singh (2024-30) (2024-2030),Elected MP,Installation of Semi High Mast Poles with LED Lighting in Sangam Vihar Ward No 168 Central Zone,2026-03-27,937141.0,2026-04-16,False,Works_Recommended.csv
