sr_no,work_category,work,state,ida,work_description,honble_members_of_parliament,constituency,image,completion_date,amount_disbursed_rupees,amount_disbursed_rupees_invalid_negative,source_dataset
20810,Normal/Others,"WS/MP18379/2025-2026/194619- Providing sports equipment, except consumable items",Jammu And Kashmir,KUPWARA(Deputy Commissioner Kupwara_IDA),Providing of Sports gear for Sports clubs of Handwara AC,ABDUL RASHID SHEIKH,BARAMULLAH,,2025-11-24,199888.0,False,Works Completed.csv
20811,Normal/Others,"WS/MP18379/2025-2026/194618- Providing sports equipment, except consumable items",Jammu And Kashmir,KUPWARA(Deputy Commissioner Kupwara_IDA),Providing of Sports gear for Sports clubs of Kupwara AC,ABDUL RASHID SHEIKH,BARAMULLAH,,2025-11-24,134715.0,False,Works Completed.csv
20812,Normal/Others,"WS/MP18036/2025-2026/226444-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA),"PCC road construction from Bajrang Bali Temple to the residence of Murari Sharma, Ward No. 23, Block Jamui.",ARUN BHARTI,JAMUI(SC),,2025-11-18,384666.0,False,Works Completed.csv
20813,Normal/Others,"WS/MP18379/2025-2026/204713- Providing sports equipment, except consumable items",Jammu And Kashmir,KUPWARA(Deputy Commissioner Kupwara_IDA),"Providing sports gear for sports teams, of Lolab Assembly constituency.",ABDUL RASHID SHEIKH,BARAMULLAH,,2025-11-28,297760.0,False,Works Completed.csv
20814,Normal/Others,WS/MP18190/2025-2026/213050-Street lights,Telangana,Mulugu(District Collector Mulugu_ida),Installation of LED Street lights in Gurthur Thanda GP,BALRAM NAIK PORIKA,MAHABUBABAD,Images,2025-11-18,246902.0,False,Works Completed.csv
20815,Normal/Others,WS/MP761/2025-2026/220941-Street lights,Telangana,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Providing LED High mast light near Hanuman Mandir,Arvind Dharmapuri,NIZAMABAD,,2025-11-18,135000.0,False,Works Completed.csv
20816,Normal/Others,WS/MP761/2025-2026/220939-Street lights,Telangana,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),"Providing LED High mast light near Gangama Mandiram, Varshakonda",Arvind Dharmapuri,NIZAMABAD,,2025-11-18,135000.0,False,Works Completed.csv
20817,Normal/Others,WS/MP18190/2025-2026/213008-Street lights,Telangana,Mulugu(District Collector Mulugu_ida),Installation of LED Street lights in Madanapalle GP,BALRAM NAIK PORIKA,MAHABUBABAD,Images,2025-11-18,292065.0,False,Works Completed.csv
20818,Normal/Others,WS/MP761/2025-2026/220940-Street lights,Telangana,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Providing LED High mast light near Brahmamgari Mandiram,Arvind Dharmapuri,NIZAMABAD,,2025-11-18,135000.0,False,Works Completed.csv
20819,Normal/Others,WS/MP761/2025-2026/220938-Street lights,Telangana,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Providing LED High mast light near Hanuman mandir in Ammkkapeta,Arvind Dharmapuri,NIZAMABAD,,2025-11-18,135000.0,False,Works Completed.csv
20820,Normal/Others,"WS/MP18034/2025-2026/212008-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,VAISHALI(DISTRICT PLANNING OFFICER VAISHALI_IDA),"Block Bhagwanpur, Panchayat Madhopur Ram Ke Gram Bishunpur Andu Ke Ward No. 4 Me Baiju Pandit Ke Ghar Se Uttar Paschim Dharamdev Prasad Singh Ke Ghar Tak PCC Sadak Nirman",CHIRAG PASWAN,HAJIPUR(SC),,2025-11-18,986731.0,False,Works Completed.csv
20821,Normal/Others,WS/MP761/2025-2026/220937-Street lights,Telangana,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Providing LED High mast light near Ambedkar Statue,Arvind Dharmapuri,NIZAMABAD,,2025-11-18,135000.0,False,Works Completed.csv
20822,Normal/Others,WS/MP761/2025-2026/220936-Street lights,Telangana,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Providing LED High mast light near Panchamukhi Hanuman Mandir,Arvind Dharmapuri,NIZAMABAD,,2025-11-18,135000.0,False,Works Completed.csv
20823,Normal/Others,WS/MP18190/2025-2026/213949-Street lights,Telangana,Mulugu(District Collector Mulugu_ida),Installation of LED Street Light in Jangalapally GP,BALRAM NAIK PORIKA,MAHABUBABAD,Images,2025-11-18,296283.0,False,Works Completed.csv
20824,Normal/Others,WS/MP18314/2025-2026/208373-Installing tube-wells and borewells,Punjab,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),Installation of Submersible Motors for Drinking Water In W.no 5 Sahid Udham Singh Nagar Opp Radha Suwami Bhawan Near Kala Singh Home Dhanaula,GURMEET SINGH MEET HAYER,SANGRUR,Images,2025-11-21,70000.0,False,Works Completed.csv
20825,Normal/Others,WS/MP18152/2025-2026/218968-Construction of common work sheds/ common covered sitting area,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of Kitchen Shed in Govt primary school,SARABJEET SINGH KHALSA,FARIDKOT(SC),,2026-01-07,300000.0,False,Works Completed.csv
20826,Normal/Others,WS/MP18314/2025-2026/208372-Installing tube-wells and borewells,Punjab,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),Installation of Submersible Motors for Drinking Water In W.no 2 Dana Mandi Near Valmik Mander Dhanaula,GURMEET SINGH MEET HAYER,SANGRUR,Images,2025-11-21,70000.0,False,Works Completed.csv
20827,Normal/Others,WS/MP18190/2025-2026/213005-Street lights,Telangana,Mulugu(District Collector Mulugu_ida),Installation of LED Street Light in Rainigudem (V),BALRAM NAIK PORIKA,MAHABUBABAD,Images,2025-11-18,197521.0,False,Works Completed.csv
