sr_no,state,honble_members_of_parliaments,constituency,allocated_amount_rupees,allocated_amount_rupees_invalid_negative,source_dataset
515,Tamil Nadu,Thirumaa Valavan Thol,CHIDAMBARAM(SC),147000000.0,False,Allocated_Limit.csv
516,Chhattisgarh,TOKHAN SAHU,BILASPUR,147000000.0,False,Allocated_Limit.csv
517,Uttarakhand,TRIVENDRA SINGH RAWAT,HARDWAR,147000000.0,False,Allocated_Limit.csv
518,Uttar Pradesh,UJJWAL RAMAN SINGH,ALLAHABAD,147000000.0,False,Allocated_Limit.csv
519,Rajasthan,UMMEDA RAM BENIWAL,BARMER,147000000.0,False,Allocated_Limit.csv
520,Uttar Pradesh,UTKARSH VERMA MADHUR,KHERI,147000000.0,False,Allocated_Limit.csv
521,Tamil Nadu,V S Matheswaran,NAMAKKAL,162539930.11,False,Allocated_Limit.csv
522,Karnataka,V. SOMANNA,TUMKUR,147000000.0,False,Allocated_Limit.csv
523,Puducherry,Vaithilingam Ve,Puducherry,209368972.11,False,Allocated_Limit.csv
524,Telangana,VAMSI KRISHNA GADDAM,PEDDAPALLE,148451721.11,False,Allocated_Limit.csv
525,Haryana,VARUN CHAUDHRY,AMBALA (SC),255454264.0,False,Allocated_Limit.csv
526,Kerala,Vellalath Kochukrishnan Nair Sreekandan,PALAKKAD,167807990.11,False,Allocated_Limit.csv
527,Chhattisgarh,Vijay Baghel,DURG,147000000.0,False,Allocated_Limit.csv
528,Uttar Pradesh,Vijay Kumar Dubey,KUSHI NAGAR,148900000.0,False,Allocated_Limit.csv
529,Jharkhand,Vijay Kumar Hansdak,RAJMAHAL(ST),147223957.11,False,Allocated_Limit.csv
530,Bihar,VIJAYLAKSHMI DEVI,SIWAN,147000000.0,False,Allocated_Limit.csv
531,Gujarat,Vinod Chavda,KACHCHH(SC),147000000.0,False,Allocated_Limit.csv
532,Uttar Pradesh,VINOD KUMAR BIND,BHADOHI,147000000.0,False,Allocated_Limit.csv
533,Madhya Pradesh,Virendra Kumar,TIKAMGARH(SC),147000000.0,False,Allocated_Limit.csv
534,Uttar Pradesh,VIRENDRA SINGH,CHANDAULI,147000000.0,False,Allocated_Limit.csv
535,Maharashtra,VISHAL,SANGLI,147000000.0,False,Allocated_Limit.csv
536,Jharkhand,Vishnu Dayal Ram,PALAMU(SC),158176083.11,False,Allocated_Limit.csv
537,Madhya Pradesh,Vishnu Dutt Sharma,KHAJURAHO,147000000.0,False,Allocated_Limit.csv
538,Karnataka,VISHWESHWAR HEGDE KAGERI,UTTARA KANNADA,147000000.0,False,Allocated_Limit.csv
539,Bihar,VIVEK THAKUR,NAWADA,147000000.0,False,Allocated_Limit.csv
540,Andhra Pradesh,Y S Avinash Reddy,KADAPA,156430260.11,False,Allocated_Limit.csv
541,Karnataka,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,MYSORE,147000000.0,False,Allocated_Limit.csv
542,Delhi,Yogendra Chandoliya,NORTH WEST DELHI(SC),147876307.0,False,Allocated_Limit.csv
543,Uttar Pradesh,ZIA UR REHMAN,SAMBHAL,147000000.0,False,Allocated_Limit.csv
