sr_no,state,honble_members_of_parliaments,constituency,allocated_amount_rupees,allocated_amount_rupees_invalid_negative,source_dataset
69,Andhra Pradesh,Balashowry Vallabbhaneni,MACHILIPATNAM,147000000.0,False,Allocated_Limit.csv
70,Telangana,BALRAM NAIK PORIKA,MAHABUBABAD,147000000.0,False,Allocated_Limit.csv
71,Maharashtra,BALWANT BASWANT WANKHADE,AMRAVATI(SC),198293678.0,False,Allocated_Limit.csv
72,Maharashtra,BALYA MAMA SURESH GOPINATH MHATRE,BHIWANDI,147000000.0,False,Allocated_Limit.csv
73,Delhi,Bansuri Swaraj,NEW DELHI,154306950.0,False,Allocated_Limit.csv
74,West Bengal,BAPI HALDAR,MATHURAPUR(SC),147000000.0,False,Allocated_Limit.csv
75,Karnataka,BASAVARAJ BOMMAI,HAVERI,147000000.0,False,Allocated_Limit.csv
76,Andhra Pradesh,BASTIPATI NAGARAJU PANCHALINGALA,KURNOOL,159998515.11,False,Allocated_Limit.csv
77,Rajasthan,Bhagirath Chaudhary,AJMER,147000000.0,False,Allocated_Limit.csv
78,Rajasthan,BHAJAN LAL JATAV,KARAULI-DHOLPUR(SC),147000000.0,False,Allocated_Limit.csv
79,Madhya Pradesh,BHARAT SINGH KUSHWAH,GWALIOR,151455276.04,False,Allocated_Limit.csv
80,Gujarat,BHARATBHAI MANUBHAI SUTARIYA,AMRELI,147000000.0,False,Allocated_Limit.csv
81,Gujarat,Bharatsinhji Shankarji Dabhi,PATAN,147000000.0,False,Allocated_Limit.csv
82,Madhya Pradesh,BHARTI PARDHI,BALAGHAT,154398389.01,False,Allocated_Limit.csv
83,Maharashtra,BHASKAR MURLIDHAR BHAGARE,DINDORI(ST),147000000.0,False,Allocated_Limit.csv
84,Maharashtra,BHAUSAHEB RAJARAM WAKCHAURE,SHIRDI(SC),147000000.0,False,Allocated_Limit.csv
85,Chhattisgarh,BHOJRAJ NAG,KANKER(ST),164672734.11,False,Allocated_Limit.csv
86,Uttar Pradesh,Bhola Singh,BULANDSHAHR(SC),147000000.0,False,Allocated_Limit.csv
87,Maharashtra,BHUMARE SANDIPANRAO ASARAM,AURANGABAD_MH,147000000.0,False,Allocated_Limit.csv
88,Andhra Pradesh,Bhupathiraju Srinivasa varma,NARASAPURAM,147000000.0,False,Allocated_Limit.csv
89,Rajasthan,BHUPENDER YADAV,ALWAR,147000000.0,False,Allocated_Limit.csv
90,Odisha,BIBHU PRASAD TARAI,JAGATSINGHPUR(SC),147000000.0,False,Allocated_Limit.csv
91,Jharkhand,Bidyut Baran Mahato,JAMSHEDPUR,147000000.0,False,Allocated_Limit.csv
92,Assam,BIJULI KALITA MEDHI,GUWAHATI,147000000.0,False,Allocated_Limit.csv
93,Tripura,BIPLAB KUMAR DEB,TRIPURA WEST,147000000.0,False,Allocated_Limit.csv
94,Andaman And Nicobar Islands,BISHNU PADA RAY,ANDAMAN AND NICOBAR ISLANDS,147000000.0,False,Allocated_Limit.csv
95,Rajasthan,BRIJENDRA SINGH OLA,JHUNJHUNU,147000000.0,False,Allocated_Limit.csv
